AcquisitionDate,link,title,publishedDate,authors,Key_dispersion relation,Key_distance conjecture,Key_EFT,Key_holographic QCD,Key_landscape,Key_Positivity,Key_Regge,Key_Swampland,Key_Weak Gravity
2023-03-01,http://arxiv.org/abs/2302.12789v1,Wide-angle effects in the galaxy bispectrum,2023-02-24 18:04:07+00:00,"Kevin Pardede,Enea Di Dio,Emanuele Castorina",False,False,True,False,False,False,False,False,False
2023-03-01,http://arxiv.org/abs/2302.11863v1,JT Gravity on a Finite Lorentzian Strip: Time dependent Quantum Gravity Amplitudes,2023-02-23 09:04:36+00:00,J. A. Rosabal,False,False,True,False,False,False,False,False,False
2023-03-01,http://arxiv.org/abs/2302.11666v1,Oscillation probabilities for a PT-symmetric non-Hermitian two-state system,2023-02-22 21:42:58+00:00,"Jean Alexandre,Madeleine Dale,John Ellis,Robert Mason,Peter Millington",False,False,False,False,False,True,False,False,False
2023-03-01,http://arxiv.org/abs/2302.11528v1,Unfinished Business in A Nonlinear Sigma Model on de Sitter Background,2023-02-22 18:09:39+00:00,"R. P. Woodard,B. Yesilyurt",False,False,True,False,False,False,False,False,False
2023-03-01,http://arxiv.org/abs/2302.11210v1,The Axion-Instanton Weak Gravity Conjecture and Scalar Fields,2023-02-22 08:51:17+00:00,Clemens Vittmann,False,False,False,False,False,False,False,False,True
2023-02-27,http://arxiv.org/abs/2302.09868v1,One-loop Lipatov vertex in QCD with higher $ε$-accuracy,2023-02-20 10:00:46+00:00,"Victor S. Fadin,Michael Fucilla,Alessandro Papa",False,False,False,False,False,False,True,False,False
2023-02-24,http://arxiv.org/abs/2302.09112v1,Freely acting orbifolds of type IIB string theory on $T^5$,2023-02-17 19:45:22+00:00,"George Gkountoumis,Chris Hull,Koen Stemerdink,Stefan Vandoren",False,False,False,False,True,False,False,False,False
2023-02-24,http://arxiv.org/abs/2302.09041v1,Hořava-Lifshitz $F(\bar{R})$ theories and the Swampland,2023-02-17 18:16:55+00:00,"H. Garcia-Compean,D. Mata-Pacheco,L. Zapata",False,False,False,False,False,False,False,True,False
2023-02-24,http://arxiv.org/abs/2302.08941v1,Multi-scalar theories of gravity with direct matter couplings and their parametrized post-Newtonian parameters,2023-02-17 15:25:21+00:00,"Osmin Lacombe,Shinji Mukohyama",False,False,False,False,False,False,False,False,True
2023-02-21,http://arxiv.org/abs/2302.07331v1,"Shannon information entropy, soliton clusters and Bose-Einstein condensation in log gravity",2023-02-14 20:24:31+00:00,Yannick Mvondo-She,False,False,False,False,True,False,False,False,False
2023-02-20,http://arxiv.org/abs/2302.06201v1,Topology of the landscape and dominant kinetic path for the thermodynamic phase transition of the charged Gauss-Bonnet AdS black holes,2023-02-13 09:17:34+00:00,"Ran Li,Conghua Liu,Kun Zhang,Jin Wang",False,False,False,False,True,False,False,False,False
2023-02-19,http://arxiv.org/abs/2302.06000v1,Probing modified plasma waves in non-linear electrodynamics,2023-02-12 21:07:17+00:00,"Leonardo P. R. Ospedal,Fernando Haas",True,False,False,False,False,False,False,False,False
2023-02-19,http://arxiv.org/abs/2302.05861v1,Quasinormal modes of a scalar perturbation around a rotating BTZ-like black hole in Einstein-bumblebee gravity,2023-02-12 06:31:42+00:00,"Chengjia Chen,Qiyuan Pan,Jiliang Jing",False,False,True,False,False,False,False,False,False
2023-02-18,http://arxiv.org/abs/2302.05655v1,No-go for PBH formation in EFT of single field inflation,2023-02-11 11:30:31+00:00,"Sayantan Choudhury,Sudhakar Panda,M. Sami",False,False,True,False,False,False,False,False,False
2023-02-17,http://arxiv.org/abs/2302.05173v1,Inflationary phenomenology of non-minimally coupled Einstein-Chern-Simons gravity,2023-02-10 11:08:17+00:00,"F. P. Fronimos,S. A. Venikoudis",False,False,False,False,False,False,False,True,False
2023-02-16,http://arxiv.org/abs/2302.04962v1,"Quantum cosmology, eternal inflation, and swampland conjectures",2023-02-09 22:36:24+00:00,"Georgios Fanaras,Alexander Vilenkin",False,False,False,False,False,False,False,True,False
2023-02-15,http://arxiv.org/abs/2302.04327v1,A Lorentz violating low-energy model for the bilayer Graphene,2023-02-08 20:42:36+00:00,"Y. M. P. Gomes,M. J. Neves",True,False,False,False,False,False,False,False,False
2023-02-15,http://arxiv.org/abs/2302.03842v1,De-Higgsing In Eleven-Dimensional Supergravity On The Squashed $S^7$,2023-02-08 02:23:53+00:00,"B. E. W. Nilsson,C. N. Pope",False,False,True,False,False,False,False,False,False
2023-02-14,http://arxiv.org/abs/2302.03688v1,A 10d construction of Euclidean axion wormholes in flat and AdS space,2023-02-07 18:59:59+00:00,"Gregory J. Loges,Gary Shiu,Thomas Van Riet",False,False,False,False,False,True,False,False,False
2023-02-13,http://arxiv.org/abs/2302.03054v1,"On the correspondence between black holes, domain walls and fluxes",2023-02-06 19:00:10+00:00,"Niccolò Cribiori,Alessandra Gnecchi,Dieter Lust,Marco Scalisi",False,True,False,False,False,False,False,True,False
2023-02-13,http://arxiv.org/abs/2302.02879v1,Positivity Bounds on Higgs-Portal Dark Matter,2023-02-06 15:46:35+00:00,"Seong-Sik Kim,Hyun Min Lee,Kimiko Yamashita",False,False,False,False,False,True,False,False,False
